student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,what_is_your_year_of_birth_just_the_year
187,64.8,United Kingdom of Great Britain and Northern Ireland,,Female,CAH09-01	Mathematical sciences,1997.0
188,52.4,Egypt,,Male,CAH10-01	Engineering,1986.0
189,63.8,Sri Lanka,,Female,CAH10-01	Engineering,1987.0
190,73.8,Algeria,,Male,,1996.0
191,62.4,Sri Lanka,,Female,CAH17-01	Business and management,1996.0
192,73.0,Iran,,Male,CAH10-01	Engineering,1988.0
193,73.0,Sri Lanka,,Female,CAH09-01	Mathematical sciences,1996.0
194,69.2,India,,Male,CAH17-01	Business and management,1996.0
195,62.4,India,,Male,CAH10-01	Engineering,1997.0
196,70.0,Nigeria,,Male,CAH11-01	Computing,1991.0
197,58.0,Nigeria,,Female,CAH15-02	Economics,1997.0
198,57.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH04-01	Psychology,2000.0
199,68.6,Malaysia,,Female,CAH17-01	Business and management,2000.0
200,63.2,United Kingdom of Great Britain and Northern Ireland,,Female,CAH15-02	Economics,2001.0
201,71.2,China,,Male,CAH11-01	Computing,2002.0
202,68.2,Iran,,Female,CAH10-01	Engineering,1992.0
203,73.2,Pakistan,,Male,CAH10-01	Engineering,1994.0
204,52.5,India,,Male,CAH10-01	Engineering,1999.0
205,68.6,Myanmar,,Female,CAH17-01	Business and management,2001.0
206,73.8,Turkey,,Female,CAH10-01	Engineering,1999.0
207,71.6,Nigeria,,Male,CAH15-02	Economics,1994.0
208,60.4,India,,Male,CAH19-01	English studies,1992.0
209,64.0,Bangladesh,,Female,CAH17-01	Business and management,1996.0
210,73.0,Sri Lanka,,Female,CAH11-01	Computing,1996.0
211,61.8,Myanmar,,Female,CAH11-01	Computing,1998.0
212,63.0,United States of America,,Male,CAH11-01	Computing,2001.0
